county_name|internal_point_lat|internal_point_lon
Autauga County|32.5322367|-86.6464395
Baldwin County|30.6592183|-87.7460666
Barbour County|31.8702531|-85.4051035
Bibb County|33.0158929|-87.1271475
Blount County|33.9773575|-86.5664400
Bullock County|32.1017589|-85.7172613
Butler County|31.7516670|-86.6819689
Calhoun County|33.7705162|-85.8279089
Chambers County|32.9155039|-85.3940321
Cherokee County|34.0695153|-85.6542417
Chilton County|32.8540514|-86.7266071
Choctaw County|31.9909539|-88.2488894
Clarke County|31.6855211|-87.8186244
Clay County|33.2703999|-85.8635254
Cleburne County|33.6719637|-85.5161261
Coffee County|31.4022580|-85.9896022
Colbert County|34.7031120|-87.8014569
Conecuh County|31.4309257|-86.9887221
Coosa County|32.9314453|-86.2434818
Covington County|31.2439873|-86.4487206
Crenshaw County|31.7328256|-86.3192219
Cullman County|34.1319229|-86.8692666
Dale County|31.4306536|-85.6094760
Dallas County|32.3335397|-87.1143556
DeKalb County|34.4609290|-85.8039920
Elmore County|32.5972290|-86.1427347
Escambia County|31.1222867|-87.1684097
Etowah County|34.0476407|-86.0342629
Fayette County|33.7161568|-87.7642923
Franklin County|34.4419892|-87.8428144
Geneva County|31.0923822|-85.8210224
Greene County|32.8444965|-87.9642005
Hale County|32.7527958|-87.6230608
Henry County|31.5169779|-85.2399712
Houston County|31.1581831|-85.2964111
Jackson County|34.7641140|-85.9800556
Jefferson County|33.5534439|-86.8965359
Lamar County|33.7870852|-88.0874309
Lauderdale County|34.9041221|-87.6509966
Lawrence County|34.5297760|-87.3218651
Lee County|32.6040644|-85.3530477
Limestone County|34.8102387|-86.9813995
Lowndes County|32.1478880|-86.6505859
Macon County|32.3870267|-85.6928870
Madison County|34.7642377|-86.5510802
Marengo County|32.2475911|-87.7910910
Marion County|34.1382194|-87.8815510
Marshall County|34.3095637|-86.3216681
Mobile County|30.6845725|-88.1965682
Monroe County|31.5803324|-87.3832656
Montgomery County|32.2028812|-86.2044615
Morgan County|34.4544844|-86.8464021
Perry County|32.6390053|-87.2938269
Pickens County|33.2967933|-88.0968631
Pike County|31.7986508|-85.9416035
Randolph County|33.2964753|-85.4640679
Russell County|32.2898113|-85.1869798
St. Clair County|33.7129627|-86.3156631
Shelby County|33.2630428|-86.6780894
Sumter County|32.5974811|-88.2000571
Talladega County|33.3693135|-86.1759302
Tallapoosa County|32.8633076|-85.7996176
Tuscaloosa County|33.2902197|-87.5227834
Walker County|33.7915581|-87.3010936
Washington County|31.4052172|-88.1975644
Wilcox County|31.9900824|-87.3049349
Winston County|34.1545665|-87.3653458
Aleutians East Borough|55.2450437|-161.9974772
Aleutians West Census Area|51.9489640|179.6211882
Anchorage Municipality|61.1742503|-149.2843294
Bethel Census Area|60.9291413|-160.1526246
Bristol Bay Borough|58.7416473|-156.9669094
Denali Borough|63.6820386|-150.0270164
Dillingham Census Area|59.5433255|-158.2671226
Fairbanks North Star Borough|64.6760436|-146.5481586
Haines Borough|59.0984037|-135.5757906
Hoonah-Angoon Census Area|58.2534617|-136.3207314
Juneau City and Borough|58.3729099|-134.1784454
Kenai Peninsula Borough|60.3607660|-152.0526403
Ketchikan Gateway Borough|55.4499378|-131.1066847
Kodiak Island Borough|57.7044003|-153.9183721
Kusilvak Census Area|62.2835878|-163.1901714
Lake and Peninsula Borough|58.1085067|-156.4134134
Matanuska-Susitna Borough|62.2790939|-149.6190939
